SNtype	Galtype	mag_g	bar
Ia        	 Sb       	17.84     	          
II        	 Sc       	13.55     	          
II        	 Sbc      	12.95     	          
Ic        	 Scd      	13.21     	B         
Ib        	 Sbc      	14.29     	          
II        	 Sb       	14.22     	B         
II        	 Sb       	13.48     	          
II        	 Sbc      	14.06     	          
II        	 Sd       	13.70     	          
Ia        	 Sc       	15.11     	          
Ia        	 Sc       	13.04     	          
Ic        	 Sab      	14.04     	          
II        	 Scd      	15.64     	          
II        	 Scd      	15.46     	          
Ic        	 Sb       	15.72     	          
Ia        	 Sb       	12.23     	          
Ia        	 Sdm      	14.55     	B         
Ia        	 Sb       	14.74     	          
II        	 Scd      	14.00     	          
Ia        	 Sc       	17.39     	          
Ic        	 Sbc      	13.60     	B         
Ia        	 S0/a     	12.49     	          
Ia        	 Sc       	15.47     	B         
Ia        	 Scd      	14.52     	          
Ia        	 Scd      	14.87     	B         
Ia        	 Sab      	15.34     	          
Ib        	 Sb pec   	13.28     	          
Ia        	 Sbc      	12.77     	          
Ia        	 Sbc      	15.40     	          
II        	 Sa       	14.56     	B         
II        	 Sbc      	15.01     	          
II        	 Sbc      	15.11     	          
Ia        	 Sbc      	14.83     	B         
II        	 S        	12.22     	          
Ia        	 E/S0     	14.36     	          
II        	 Sb       	14.99     	          
Ia        	 Sb pec   	15.99     	          
II        	 Sc       	13.37     	          
II        	 Sb       	11.03     	          
Ia        	 Sb pec   	13.89     	          
Ic        	 Sbc pec  	15.36     	B         
Ia        	 Sbc      	15.36     	B         
Ia        	 Sbc      	15.83     	          
Ia        	 S0/a     	17.22     	          
Ib        	 Scd      	14.34     	          
Ia        	 S0       	13.96     	          
Ia        	 E/S0     	13.92     	          
Ib/c      	 Sa       	18.59     	          
Ia        	 Sa       	14.50     	          
Ia        	 Sbc      	15.35     	          
II        	 Sbc      	15.60     	          
II        	 Sb       	11.03     	          
Ia        	 Sb       	14.74     	B         
Ia        	 Sa       	15.28     	          
II        	 Sc       	13.62     	          
II        	 Sc       	13.59     	          
Ia        	 E        	14.35     	          
II        	 Sb       	12.11     	          
Ia        	 Sa       	13.82     	          
II        	 Sbc      	13.96     	B         
II        	 Sc       	14.90     	B         
Ib/c      	 Sab      	16.40     	          
Ia        	 E        	14.00     	          
Ia        	 Sc       	14.56     	B         
Ia        	 E        	13.53     	          
Ia        	 E        	13.83     	          
II        	 Sbc      	14.75     	B         
II        	 Sc       	14.96     	          
II        	 Sa       	15.51     	          
Ia        	 E        	15.80     	          
Ic        	 Sc       	13.23     	          
II        	 Sb       	15.24     	          
Ia        	 Sc       	14.61     	B         
II        	 Sc       	14.34     	          
II        	 S        	19.36     	          
II        	 Sbc      	13.92     	          
Ia        	 Sbc      	13.92     	          
Ia        	 S0/a     	15.52     	          
II        	 Sbc      	14.24     	          
Ia        	 Sbc      	15.56     	          
Ia        	 Sb       	16.60     	          
II        	 Sb       	13.86     	          
Ia        	 Sc       	14.08     	          
Ia        	 Scd      	13.36     	B         
Ia        	 S0/a     	13.74     	          
II        	 Sc       	11.95     	          
II        	 Sc       	11.87     	          
II        	 Sc       	15.35     	          
II        	 Sc       	14.94     	          
Ia        	 S0       	14.97     	          
II        	 Sc       	14.11     	          
Ia        	 Sdm      	16.47     	          
Ia        	 S        	15.81     	          
II        	 Sab      	14.45     	          
Ic        	 Scd pec  	13.55     	B         
Ia        	 S0/a     	13.84     	          
Ia        	 S0/a     	14.70     	B         
Ia        	 Sab      	12.91     	B         
Ic        	 Sb       	14.20     	          
Ia        	 E        	13.82     	          
Ia        	 Sb       	14.25     	B         
Ia        	 Sd       	14.79     	B         
Ic        	 Sc       	12.27     	          
II        	 Sbc      	14.07     	          
Ia        	 Sab      	15.25     	          
Ib        	 Sdm      	13.75     	B         
Ic        	 Sc       	15.49     	          
Ia        	 Sc       	14.73     	          
Ic        	 Sb       	12.66     	          
Ic        	 Sc       	11.22     	          
II        	 Sc       	13.30     	          
Ia        	 S        	18.00     	          
Ia        	 Sbc      	14.98     	          
Ia        	 S        	17.92     	          
II        	 Sdm      	13.70     	          
Ia        	 Scd      	18.34     	          
Ia        	 S        	16.14     	          
Ia        	 S        	17.44     	          
Ia        	 Sc       	15.72     	          
Ia        	 Sc       	14.83     	          
Ia        	 Sbc      	15.55     	          
II        	 Sb       	14.20     	B         
Ic        	 Sbc      	14.03     	          
II        	 Sb       	11.94     	          
II        	 Sc       	14.48     	          
Ia        	 S0       	13.15     	          
Ib        	 Scd      	12.13     	          
Ia        	 Sb       	13.15     	B         
II        	 Sbc      	13.93     	          
Ia        	 Sbc      	15.17     	          
II        	 S        	14.94     	          
Ia        	 Sbc      	14.10     	B         
II        	 Sc       	15.98     	          
II        	 Sb       	13.73     	          
II        	 Sbc      	16.25     	          
II        	 Sc       	12.88     	          
II        	 Scd      	13.60     	          
II        	 Sc       	14.17     	B         
Ia        	 Sc       	14.50     	B         
II        	 Sc       	11.92     	          
Ia        	 E/S0     	12.10     	          
Ic        	 Sbc      	12.83     	          
Ia        	 Sbc      	14.85     	          
Ia        	 Sb       	14.68     	B         
Ia        	 Sbc      	12.73     	          
II        	 Sd       	11.81     	          
Ic        	 Scd      	14.44     	          
Ia        	 Sbc      	15.79     	          
Ic        	 Sbc      	11.08     	          
II        	 Scd      	14.20     	          
Ia        	 S0       	14.65     	          
Ia        	 Sc       	17.98     	          
Ib/c      	 Sc       	13.37     	          
II        	 Sc       	14.94     	B         
II        	 S        	18.67     	          
Ia        	 S0       	13.73     	          
Ia        	 S        	19.19     	          
II        	 Sbc      	17.07     	B         
Ia        	 Sa       	16.79     	          
II        	 S        	17.28     	          
II        	 Sm       	17.89     	          
II        	 Sb       	14.14     	B         
Ic        	 S        	18.74     	          
II        	 Sb       	17.27     	          
Ia        	 S        	17.97     	          
Ia        	 S        	18.61     	          
Ia        	 Sb       	15.14     	B         
Ia        	 Sbc      	14.94     	B         
Ia        	 Scd      	13.47     	          
II        	 Sb       	14.85     	          
II        	 Sc       	17.20     	          
Ia        	 E        	 9.52     	          
Ia        	 Sa       	16.61     	          
II        	 Sb       	15.49     	          
Ia        	 Sbc      	12.80     	          
II        	 Sc       	14.81     	          
II        	 Sbc      	13.66     	          
II        	 Sd       	12.83     	B         
Ia        	 Sab      	16.51     	          
Ic        	 Sd       	15.68     	          
Ia        	 S0/a     	15.84     	          
Ia        	 Sb       	14.55     	          
II        	 Sc       	13.51     	          
