#RA	DEC	SNtype	Galtype2
165.80138	 11.07731	Ic       	S        
157.58421	 61.26347	II       	S        
 20.85758	 30.78747	Ia       	S        
  3.96604	 16.08933	II       	S        
 18.38617	 -0.61592	II       	S        
176.11904	 69.73183	II       	S        
  0.76675	 -1.91264	Ia       	S        
244.84025	 41.08989	Ia       	S0       
 54.53804	 40.97722	II       	S        
120.31513	 55.74300	Ia       	S        
205.33121	 55.67681	Ia       	S        
138.54608	 16.74667	II       	S        
260.69025	 62.16400	Ia       	S        
146.70617	 16.04378	Ia       	S        
133.64417	 57.17217	Ia       	S0       
136.88525	 60.48819	II       	S        
250.75792	 36.83681	II       	S        
127.44821	 48.77303	II       	S        
220.08154	 16.68439	II       	S        
151.43254	 10.27142	Ia       	S0       
179.61354	 10.01792	II       	S        
171.41325	 22.83039	Ia       	S        
164.68825	 59.48667	Ia       	S        
265.51242	 25.61997	II       	S        
179.45933	 25.26531	Ic       	S        
178.20092	 29.34769	Ia       	S0       
 70.51963	 -7.20228	Ia       	S0       
174.92575	 31.90883	Ia       	S        
207.31438	 35.25347	Ic       	S        
199.07513	  7.04797	Ia       	E        
204.36967	  4.10314	Ia       	S        
183.80033	 -3.43842	Ia       	S        
163.14721	 22.93486	Ic       	S        
163.12942	  7.22811	II       	S        
167.47188	 37.00178	Ia       	S        
159.91375	 25.32219	Ib       	S        
238.71679	 21.11972	Ic       	S        
333.75438	 15.40461	Ia       	S        
171.87383	 56.88006	Ic       	S        
189.14333	 11.24244	Ic       	S        
235.37429	 15.78697	II       	S        
155.70883	 11.70300	Ia       	S        
153.64667	 11.86825	Ia       	S        
127.38946	  8.86817	Ia       	S        
211.85400	 55.10306	II       	S        
186.86713	 42.34128	Ia       	S        
202.14171	 41.85228	Ia       	S        
235.10317	 32.86589	Ia       	S        
232.83233	 40.28114	Ia       	S        
235.94063	 28.41653	Ia       	S        
241.56021	 18.41500	Ia       	S        
179.11592	 39.73797	II       	S        
355.32696	  4.01842	Ic       	S        
224.99567	  1.89044	II       	S        
  4.50163	 24.56236	II       	S        
238.92092	 47.86364	Ia       	S0       
245.45388	 -2.27147	Ib       	S        
 30.55321	 -0.09764	Ia       	S        
317.87554	 -2.03703	II       	S        
199.21417	 31.58661	Ia       	S        
262.10125	 57.54603	II       	S        
257.02067	 26.37900	IIn      	S        
340.54175	 19.99456	Ia       	S        
 55.38621	 37.22506	II       	S        
 17.49379	 32.37992	II       	S        
224.96579	 54.61836	II       	S        
292.87963	 35.87103	II       	S        
 39.24600	 -5.35547	II       	S        
110.89425	 41.42731	II       	S        
327.28254	  0.44422	Ia       	S        
163.06296	 32.95558	II       	S        
 49.47417	 -7.29528	IIn      	S        
 40.81354	 32.42378	Ia       	E/S0     
  7.54696	  2.08986	Ic       	S        
356.85188	 28.38956	Ia       	S        
133.06063	 52.89178	Ia       	S        
 30.27671	 31.87894	Ia       	S        
218.33917	  4.44708	II       	S        
186.38838	 12.26108	Ic       	S        
132.52038	 49.24550	Ia       	S        
188.55042	  2.65956	Ic       	S        
171.56258	 27.86853	II       	S        
129.59658	 17.62772	Ia       	S0       
191.60300	 11.94892	Ia       	S        
 33.40592	 -0.71828	Ib/c     	S        
353.37833	 24.01861	II       	S        
195.99392	 26.23436	II       	S        
173.49904	 49.06292	Ia       	S0       
 31.60421	 -4.63444	Ia       	S        
 16.20279	 -0.89597	II       	S        
 18.76008	  0.26192	Ia       	S        
 40.30250	 -0.87944	II       	S        
316.51771	  1.21583	II       	S        
 40.88013	  0.30853	II       	S        
 40.23500	 -0.18008	Ic       	S        
310.20021	  1.04283	II       	S        
330.44408	  1.23667	Ia       	S        
 22.60858	  0.69231	Ia       	S        
215.91604	-19.44722	Ia       	S        
156.76713	 16.01869	Ia       	S        
203.74067	 34.04269	Ia       	S        
164.04279	 47.39542	II       	S        
222.73042	 17.22017	II       	S        
190.90217	 11.53078	Ia       	E        
175.86775	 21.67508	Ia       	S        
203.07242	 60.39539	II       	S        
 37.68021	 -2.93883	Ia       	S        
137.01754	 27.24983	II       	S        
190.27158	 50.38228	II       	S        
 37.12271	 -1.13889	II       	S        
224.18188	  9.32847	Ia       	S        
 44.70354	 75.75383	Ic       	S        
220.13358	  3.51031	Ia       	S0       
266.20683	 61.90781	Ia       	S        
 67.91175	 -4.58522	IIn      	S        
199.05158	 30.94508	II       	S        
196.44571	 27.73567	Ic       	S        
174.42742	 22.01081	II       	S        
194.29946	 -1.70483	II       	S        
219.31271	 38.45642	Ia       	S        
224.88633	 16.66989	Ia       	S        
155.98863	 -3.19128	Ib       	S        
184.32158	 16.37156	Ia       	S        
172.43333	 22.12753	Ic       	S        
246.83863	 39.11200	II       	S        
252.43642	 17.86353	Ic       	S        
240.57100	 42.91536	Ic       	S        
181.05108	 20.40689	Ia       	S0       
230.18792	 36.81181	Ia       	S0       
180.84963	 35.32583	II       	S        
257.43008	 36.41892	II       	S        
196.80446	 58.13567	II       	S        
216.03100	 26.29731	Ia       	S        
203.37388	 33.04106	II       	S        
168.87258	 60.75153	Ib       	S        
203.16079	 11.80922	Ia       	S        
339.13733	 25.75972	Ib/c     	S        
218.68700	 48.67217	II       	S        
315.50979	 -6.29325	IIn      	S        
359.87867	 18.20267	IIn      	S        
