RA	DEC	SNtype	Galtype	mag_g	bar
 49.90645  	 41.63564  	   Ia      	 S0        	15.54      	           
184.47925  	  7.18089  	           	 Scd       	13.26      	           
159.82753  	 14.85100  	           	 Sc        	15.73      	           
181.60546  	 52.71853  	           	 Sb        	11.44      	           
210.32348  	 54.41817  	   Ia      	 S0        	14.45      	           
227.20985  	  6.96661  	           	 Sbc       	16.09      	B          
349.75771  	 15.04683  	           	 Sdm       	17.14      	B          
 48.03376  	 42.15733  	           	 Sa        	NA         	B          
249.13674  	 39.03008  	           	 Sbc       	13.76      	           
 15.54297  	 31.52136  	           	 S         	18.42      	           
 17.51244  	 32.91356  	           	 Sbc       	15.84      	           
119.59323  	 25.15336  	   Ia      	 Sc        	12.89      	B          
168.56668  	 48.30822  	   I       	 Sb        	11.81      	B          
 15.91601  	 32.04897  	           	 Sc        	15.94      	           
 24.96474  	 32.33183  	           	 Sb        	15.95      	           
174.17434  	 54.28408  	   II P    	 Sc        	11.93      	           
197.75489  	 29.58333  	           	 Sb        	13.36      	B          
186.55009  	 13.11306  	   Ib      	 Sb        	12.84      	           
330.16967  	 17.73458  	           	 Sbc       	11.53      	B          
 20.44496  	  5.22603  	           	 Sb        	10.64      	           
 15.22688  	 -7.03803  	           	 Sb        	15.29      	B          
155.87000  	 19.90417  	   I       	 E         	11.68      	           
NA         	NA         	           	NA         	NA         	NA         
185.89381  	 16.73372  	           	 S0/a      	11.81      	           
210.07201  	 38.90903  	           	 Sbc       	12.80      	B          
120.85569  	 67.16167  	   I       	 Sbc       	14.59      	           
 30.97500  	 11.96456  	           	 Sd        	15.22      	           
162.11677  	 26.57850  	   I       	 Scd       	13.65      	B          
353.74964  	  4.89764  	           	 S0        	13.94      	           
169.94054  	 59.27383  	   II      	 Sd        	14.27      	           
338.75157  	 37.20150  	   Ia      	 Sc        	15.34      	           
174.84863  	 56.26692  	   II      	 Sc        	12.00      	           
190.87120  	 11.59072  	   I       	 Sc        	NA         	B          
177.68083  	 55.35917  	   Ia      	 Sc        	13.02      	           
185.74429  	 15.79771  	   II L    	 Sc        	NA         	NA         
 44.57642  	 -4.81952  	           	 S0/a      	14.35      	           
185.11796  	 31.16961  	           	 Sb        	14.58      	B          
169.97648  	 54.46286  	           	 Sc        	14.80      	B          
NA         	NA         	           	NA         	NA         	NA         
173.74221  	 54.88197  	   II P    	 Sd        	12.19      	           
199.92731  	 34.23444  	           	 Sm        	18.02      	           
186.39608  	 12.89294  	   Ia pec  	 E         	NA         	NA         
345.00720  	 15.98133  	           	 Sbc pec   	12.00      	           
NA         	NA         	   I       	 S0/a      	12.31      	           
225.33888  	  1.75985  	           	 Sc        	15.67      	           
188.62325  	  2.19982  	   Ia      	 Sbc       	10.84      	           
194.90347  	 27.96203  	   Ia      	 E         	NA         	           
210.81557  	 38.52825  	   I       	 Sc        	14.02      	           
184.74758  	 47.32521  	   II      	 Sb        	NA         	B          
241.30304  	 20.54404  	           	 Scd pec   	13.29      	           
108.64004  	 84.38667  	   Ia      	 Sc        	11.82      	B          
183.35131  	 28.49789  	   Ia      	 Sc        	12.85      	           
218.78088  	  5.35894  	   II      	 Sbc       	14.45      	           
187.66334  	 41.63767  	   II P    	 Scd pec   	NA         	NA         
 21.13459  	  1.72689  	           	 Sbc       	12.37      	B          
211.78746  	 55.01872  	   Ia      	 E pec     	11.66      	           
136.75585  	 50.71911  	           	 Sc        	13.81      	           
152.00212  	 68.36631  	           	 Sc        	14.65      	B          
245.64167  	 36.75694  	           	 Im        	15.77      	           
167.60285  	 58.39928  	           	 Sb        	16.10      	           
148.42777  	  1.57686  	   II L    	 Scd       	12.79      	           
193.08708  	 -1.20333  	   Ia      	 S0/a pec  	NA         	NA         
180.79861  	 44.51683  	   Ib/c    	 Sbc       	NA         	B          
151.02545  	 31.18211  	           	 S0/a pec  	12.92      	           
192.30088  	 -8.62843  	   II P    	 Sb        	 9.91      	           
184.05542  	 47.87917  	           	 Sa        	11.90      	           
221.23490  	  1.95356  	   Ia      	 Sab       	11.72      	           
 27.55458  	 27.19861  	   Ia      	 Scd       	13.98      	B          
249.22875  	 36.42208  	   I       	 Sab       	14.49      	B          
155.87242  	 19.86541  	   Ia      	 Sb        	NA         	B          
170.13575  	 57.78194  	   Ia      	 Sb        	14.10      	B          
186.73213  	 15.05492  	   Ia      	 Sa        	11.68      	           
168.93101  	 55.92206  	   II L    	 Sc        	15.10      	           
127.12763  	 17.47244  	           	 Sbc       	13.98      	           
153.54583  	  3.47028  	   II L    	 Sb pec    	NA         	NA         
122.79618  	 46.46014  	   II      	 Sm        	13.80      	           
 38.87717  	 -7.15846  	:  Ib      	 Sd        	12.14      	B          
 22.08954  	  2.51689  	           	 Sbc       	14.22      	           
173.08500  	 53.90694  	           	 Sd        	14.45      	B          
171.53054  	 43.58494  	:          	 Sb        	10.52      	           
184.50136  	  7.18200  	           	 Scd       	13.26      	           
180.68350  	  1.97924  	   Ia      	 Sab       	12.20      	B          
190.38754  	 41.15165  	   Ib/c    	 Sdm       	10.97      	B          
187.16833  	  9.26111  	   II P    	 Sb        	13.06      	           
161.63196  	 63.23033  	   II      	 Sd        	11.10      	B          
194.81742  	 27.98437  	           	 S         	18.39      	           
198.34063  	 36.60908  	   II L    	 Sc        	10.44      	           
 12.54442  	 31.72903  	   II      	 Sc        	16.17      	           
329.09275  	  7.36564  	   I       	 Sb        	15.14      	           
 37.91179  	 22.91944  	   II      	 Sbc       	14.25      	B          
161.65233  	 13.75018  	:  Ia      	 Sc        	11.80      	B          
175.93673  	 19.98511  	   II      	 Sm        	13.83      	           
185.42171  	 14.63195  	:  II L    	 Sc        	11.43      	           
184.71683  	 14.41225  	   II P    	 Sc        	10.06      	           
 13.77225  	 -7.33402  	   II      	 Sc        	14.15      	           
