SNtype	mag_g	bar	Galtype2
Ia   	14.23	     	S0   
Ia   	18.74	     	S    
Ia   	18.67	     	S    
Ia   	19.10	     	S    
Ia   	19.10	     	S    
Ia   	18.67	     	S    
Ia   	18.58	     	S    
Ia   	14.09	     	S    
Ia   	19.25	     	S    
Ia   	17.52	B    	S    
Ia   	19.05	     	S    
II   	18.96	     	S    
IIn  	12.23	B    	S    
II   	14.16	B    	S    
II   	14.30	     	S    
II   	13.28	     	S0   
Ia   	15.85	     	S    
II   	13.61	B    	S    
Ia   	16.12	     	S    
Ib   	15.01	     	S    
Ia   	17.61	B    	S    
II   	11.90	B    	S    
Ia   	17.80	     	S    
Ia   	18.74	     	S    
II   	12.84	     	S    
Ia   	17.48	     	S    
Ia   	17.51	     	S    
II   	14.11	     	S    
Ia   	17.47	     	S    
Ia   	17.28	     	S0   
Ia   	19.90	     	S    
II   	15.28	     	S    
II   	17.22	     	S    
Ia   	12.89	     	S    
Ic   	17.05	     	S    
II   	12.54	B    	S    
Ia   	12.46	     	E/S0 
II   	13.75	B    	S    
Ic   	12.00	     	S    
Ia   	14.87	     	S    
Ia   	19.30	     	S    
Ia   	17.20	     	S    
Ia   	16.81	     	S    
Ia   	19.63	     	S    
Ia   	17.43	     	S    
Ia   	19.30	     	S    
II   	19.72	     	S    
II   	18.70	     	S    
Ia   	18.64	     	S    
Ia   	18.39	     	S    
Ia   	14.44	     	S    
Ia   	14.30	B    	S    
IIn  	14.61	B    	S    
Ia   	14.58	     	S    
II   	13.07	     	S    
Ia   	13.94	B    	S0   
Ic   	14.74	B    	S    
II   	13.81	     	S    
Ib   	18.30	     	S    
Ia   	14.20	     	S    
II   	18.58	     	S    
Ic   	14.74	B    	S    
Ib   	13.48	     	S    
IIn  	14.53	     	S    
Ia   	14.07	B    	S    
II   	14.82	     	S    
Ia   	12.72	     	S    
II   	15.53	     	S    
II   	13.89	     	S    
IIn  	13.60	B    	S    
Ia   	13.03	B    	S    
II   	17.02	B    	S    
Ia   	18.39	     	S    
Ia   	16.56	     	S0   
IIn  	18.92	     	Im   
IIn  	13.38	B    	S    
II   	15.46	B    	S    
Ia   	15.60	     	S    
II   	18.77	     	Im   
Ia   	13.53	     	S    
Ia   	14.62	     	S    
Ia   	13.81	     	S0   
Ia   	13.95	     	E/S0 
II   	14.36	     	S    
II   	17.09	     	S    
Ia   	14.08	     	E/S0 
II   	14.83	     	S    
Ia   	16.85	     	S    
Ia   	13.69	     	E/S0 
Ia   	13.91	     	S    
Ia   	14.23	     	S0   
Ia   	17.58	     	S    
Ia   	17.11	     	S0   
II   	14.07	     	S    
II   	13.16	B    	S    
Ia   	15.57	B    	S0   
II   	13.49	     	S    
Ia   	15.53	     	S    
Ia   	14.52	B    	S    
Ia   	16.15	     	S0   
Ia   	12.39	B    	S    
Ia   	17.29	     	S    
Ic   	14.81	     	S    
Ia   	14.34	B    	S    
Ia   	14.95	     	S    
II   	14.63	B    	S    
Ia   	14.24	     	S0   
Ia   	15.94	     	S0   
IIn  	14.78	     	S    
II   	17.51	     	S    
II   	13.37	     	S    
IIn  	15.34	     	S    
Ia   	16.13	B    	S0   
IIn  	17.47	     	S    
Ic   	14.03	     	S    
Ia   	14.87	B    	S    
II   	13.51	     	S    
II   	13.84	     	S    
Ia   	13.98	     	S    
Ia   	14.50	B    	S    
Ia   	16.61	     	S    
Ia   	13.43	     	S    
Ia   	13.48	B    	S0   
Ib   	14.41	     	S    
Ia   	14.58	     	S    
II   	14.39	B    	S    
II   	13.64	     	S0   
Ia   	13.97	     	S0   
IIn  	13.97	     	S    
Ia   	14.17	     	S0   
II   	14.53	     	S    
Ib   	12.62	     	S    
Ia   	17.41	     	S    
Ia   	17.56	     	S    
Ia   	14.41	B    	S    
Ia   	18.13	     	S    
II   	17.40	     	S    
Ia   	19.05	     	S    
Ia   	17.18	     	S    
Ia   	17.27	     	S    
Ia   	19.42	     	S    
Ia   	21.31	     	S    
Ic   	14.51	     	S    
Ia   	18.37	     	S    
Ia   	18.04	     	S    
Ia   	17.95	     	S    
Ia   	16.61	     	S0   
II   	16.23	     	S    
Ia   	14.77	     	S    
II   	13.79	     	S    
Ia   	17.34	     	S    
IIn  	13.68	     	S0   
Ia   	16.71	     	S    
Ia   	14.73	B    	S    
Ia   	20.11	     	S    
Ia   	19.72	     	S    
II   	17.43	     	S    
Ia   	17.23	     	S    
Ia   	19.01	     	S    
Ia   	16.62	     	S    
Ia   	18.13	     	S    
II   	15.19	B    	S    
Ia   	18.67	     	Im   
Ia   	17.80	B    	S    
II   	17.35	     	S    
II   	16.53	     	S    
Ia   	19.49	     	S    
Ia   	17.60	B    	S    
Ib/c 	16.01	     	S    
Ia   	16.67	     	S    
Ib/c 	16.16	     	S    
II   	16.51	B    	S    
II   	17.53	     	S    
II   	19.19	     	S    
II   	15.13	     	S    
II   	14.49	B    	S    
IIn  	14.85	B    	S    
Ib   	16.87	     	S    
Ia   	19.42	     	S    
Ia   	17.93	     	S    
Ia   	19.30	     	S    
Ia   	19.05	     	S    
Ia   	14.49	     	S0   
II   	20.24	     	S    
Ib/c 	13.21	     	S    
Ib   	14.91	B    	S    
Ib   	18.04	     	Im   
Ib/c 	13.96	B    	S    
Ia   	18.61	B    	S    
IIn  	15.65	     	S    
Ia   	14.78	B    	S    
Ia   	20.24	     	S    
Ia   	18.27	     	S    
Ia   	18.23	     	S    
Ia   	20.11	     	S    
Ia   	16.81	     	S    
II   	16.06	     	S    
Ia   	16.81	     	S    
II   	14.89	     	S    
Ia   	14.90	     	S    
Ia   	17.58	     	S    
Ia   	17.65	     	S    
Ia   	14.18	     	S0   
Ia   	13.03	     	S    
Ia   	14.73	     	S    
Ia   	15.91	     	S    
II   	17.93	     	S    
Ia   	18.92	     	E/S0 
Ia   	19.19	     	S    
Ia   	20.55	     	S    
Ia   	18.64	     	S    
Ic   	19.36	     	S    
Ia   	17.86	     	S    
Ia   	17.07	     	S    
Ia   	14.30	B    	S    
IIn  	18.39	     	S    
Ia   	18.44	     	S    
Ia   	17.95	B    	S    
Ia   	19.56	     	S    
Ia   	17.69	     	S    
II   	16.75	     	S    
II   	16.30	B    	S    
II   	17.59	     	S0   
Ia   	17.50	     	Im   
Ia   	15.28	     	S    
Ia   	13.67	     	S    
II   	13.03	     	S    
Ia   	15.32	B    	S    
Ia   	15.40	B    	S    
II   	13.16	B    	S    
Ia   	18.00	     	S    
Ia   	13.81	B    	S    
II   	10.95	     	S    
II   	15.68	     	S    
II   	13.73	     	S    
Ia   	11.81	B    	S    
