RA	DEC	SNtype	mag_g	bar	redshift	Galtype2
 34.61200	  5.65056	Ia       	13.68    	         	 0.03035 	S        
320.06525	 -4.87792	Ia       	13.77    	         	 0.03036 	S0       
337.11092	 17.14756	CC       	13.74    	         	 0.00967 	S        
101.96667	 84.16728	IIn      	14.31    	B        	 0.01464 	S        
175.24417	 11.46550	CC       	11.08    	         	 0.00330 	S        
349.85500	  5.90586	Ia       	13.68    	         	 0.02041 	S        
179.44063	 32.29697	CC       	12.52    	         	 0.01109 	S        
 48.21963	  4.70956	CC       	13.41    	B        	 0.01970 	S        
  7.30038	 33.10819	Ia       	15.97    	         	 0.01608 	S        
138.72979	 46.90056	CC       	14.10    	         	 0.01418 	S        
121.74079	  8.00536	CC       	14.12    	         	 0.01536 	S        
344.60558	 26.64072	Ia       	14.76    	         	 0.02385 	S        
145.17308	 11.88569	CC       	13.80    	B        	 0.02222 	S        
202.81767	 29.37564	CC       	14.93    	B        	 0.04787 	S        
176.95867	 56.01703	Ia       	15.29    	         	 0.05468 	S0       
153.75758	 65.13431	CC       	13.74    	B        	 0.01101 	S        
182.81492	 17.89228	Ia       	14.51    	B        	 0.02343 	S        
184.84588	  5.82792	Ia       	10.90    	         	 0.00726 	E        
262.49046	 60.35644	CC       	14.15    	B        	 0.02048 	S        
244.89513	 57.61819	CC       	13.89    	B        	 0.01663 	S        
200.60900	 -2.42361	CC       	14.01    	B        	 0.02319 	S        
143.62921	 46.46075	CC       	15.76    	B        	 0.02650 	S        
205.41404	 55.66828	CC       	13.59    	         	 0.02539 	S        
242.62596	 19.95033	CC       	14.67    	         	 0.02643 	S        
241.80704	 -0.08033	CC       	15.72    	         	 0.03107 	S0       
216.57083	 26.24883	Ia       	14.82    	         	 0.03024 	S        
248.61546	 76.02967	Ia       	15.59    	B        	 0.04069 	S        
128.82858	 28.46828	Ia       	12.63    	         	 0.00718 	S        
171.38388	 -1.73369	CC       	19.72    	         	 0.04300 	S        
240.53854	 36.71889	Ia       	17.76    	         	 0.09483 	S        
193.92029	 27.25108	Ia       	14.46    	         	 0.02365 	S0       
321.49663	 -3.81300	CC       	15.05    	         	 0.00978 	S        
200.43688	 31.24683	Ia       	14.58    	B        	 0.02409 	S        
335.65633	 -4.12522	CC       	13.50    	B        	 0.01636 	S        
233.52792	 56.69061	CC       	12.93    	         	 0.01127 	S        
344.50117	  6.06344	CC       	14.13    	B        	 0.01612 	S        
332.36567	 40.98792	CC       	13.43    	         	 0.01530 	S        
176.21238	 -1.60511	CC       	14.31    	B        	 0.02840 	S        
358.38658	  8.11739	Ia       	14.51    	B        	 0.01720 	S        
307.72533	 -0.65747	Ia       	16.02    	         	 0.01969 	S        
320.25721	  9.18067	Ia       	15.14    	         	 0.02117 	S        
178.43842	 52.34911	Ia       	10.90    	B        	 0.00351 	S        
248.79563	 46.21403	CC       	13.68    	B        	 0.03076 	S        
256.24758	 23.16839	CC       	15.54    	         	 0.03008 	S        
347.01950	 28.56836	CC       	15.30    	         	 0.03191 	S        
 67.68792	  0.87164	Ia       	12.47    	         	 0.01265 	S        
 33.00179	 31.54550	Ia       	15.84    	         	 0.04536 	S        
 27.96283	  6.29094	Ia       	12.86    	         	 0.01661 	S        
325.59858	 12.49747	CC       	15.06    	         	 0.01951 	S        
 21.34542	 34.02514	Ia       	13.71    	B        	 0.01585 	S        
 74.25108	 -4.76117	Ia       	13.89    	         	 0.01301 	S        
346.23658	 19.55133	CC       	14.37    	         	 0.02509 	S        
 39.49500	 -1.02781	Ia       	18.88    	         	 0.13555 	S        
336.62821	 -6.39128	IIn      	15.78    	         	 0.02521 	S        
199.33354	 20.63606	Ia       	14.35    	B        	 0.02287 	S        
 27.09258	 11.52622	IIn      	12.90    	         	 0.01729 	S        
  2.52563	 -0.43839	CC       	15.49    	         	 0.03215 	S        
317.11121	 18.18806	CC       	15.37    	         	 0.01677 	S        
333.62350	  5.02711	CC       	15.02    	B        	 0.02806 	S        
144.48763	 25.49492	Ia       	13.93    	B        	 0.01352 	S        
134.25404	 13.19986	CC       	14.23    	         	 0.01331 	S        
318.18846	 -0.87672	Ia       	17.69    	         	 0.03199 	S        
137.38825	 50.28092	Ia       	15.34    	         	 0.01670 	S        
149.75400	 17.82011	Ia       	14.17    	         	 0.02544 	S        
182.97158	 24.11372	CC       	12.49    	         	 0.00858 	S        
 55.98867	 39.29428	IIn      	18.59    	         	 0.01652 	S        
347.68058	  7.56956	Ia       	14.19    	         	 0.04424 	E/S0     
348.29533	 10.77367	CC       	14.25    	B        	 0.03548 	S        
 10.52267	 36.80150	CC       	13.92    	         	 0.03564 	S        
226.53917	 53.41156	CC       	15.07    	         	 0.03419 	S        
135.18013	 17.62100	CC       	14.33    	B        	 0.01301 	S        
168.48358	 12.30217	CC       	13.62    	         	 0.01081 	S        
159.99200	 24.09056	Ia       	13.31    	         	 0.02103 	S        
178.33983	 20.74814	Ia       	13.60    	B        	 0.02070 	S        
171.33238	 63.72100	CC       	13.45    	         	 0.01242 	S        
202.32054	 17.04478	CC       	12.52    	         	 0.01344 	S        
152.98833	 58.86747	CC       	15.21    	B        	 0.03035 	S        
211.17892	 -9.70825	Ia       	13.98    	         	 0.02842 	S        
250.31288	 39.29569	CC       	14.91    	         	 0.03054 	S        
